T07	multiples traumatismes non spécifiés
T80.411S	réaction d'incompatibilité Rh avec une réaction retardée hémolytique sur la transfusion, séquelle
T80.419A	réaction d'incompatibilité Rh avec une réaction hémolytique sur la transfusion, non spécifiée, contact initial
T80.419D	réaction d'incompatibilité Rh avec une réaction hémolytique sur la transfusion, non spécifiée, contact subséquent
T80.419S	réaction d'incompatibilité Rh avec une réaction hémolytique sur la transfusion, non spécifiée, séquelle
T80.49XA	autre réaction d'incompatibilité Rh due à une transfusion de sang ou de produits sanguins, contact initial
T80.49XD	autre réaction d'incompatibilité Rh due à une transfusion de sang ou de produits sanguins, contact subséquent
T80.49XS	autre réaction d'incompatibilité Rh due à une transfusion de sang ou de produits sanguins, séquelle
T80.51XA	réaction anaphylactique due à l'administration de sang et de produits sanguins, contact initial
T80.51XD	réaction anaphylactique due à l'administration de sang et de produits sanguins, contact subséquent
T80.51XS	réaction anaphylactique due à l'administration de sang et de produits sanguins, séquelle
T80.52XA	réaction anaphylactique due à vaccination, contact initial
T80.52XD	réaction anaphylactique due à vaccination, contact subséquent
T80.52XS	réaction anaphylactique due à vaccination, séquelle
T80.59XA	réaction anaphylactique due à autre sérum, contact initial
T80.59XD	réaction anaphylactique due à autre sérum, contact subséquent
T80.59XS	réaction anaphylactique due à autre sérum, séquelle
T80.61XA	autre réaction sérique due à l'administration de sang et de produits sanguins, contact initial
T80.61XD	autre réaction sérique due à l'administration de sang et de produits sanguins, contact subséquent
T80.61XS	autre réaction sérique due à l'administration de sang et de produits sanguins, séquelle
T80.62XA	autre réaction sérique due à vaccination, contact initial
T80.62XD	autre réaction sérique due à vaccination, contact subséquent
T80.62XS	autre réaction sérique due à vaccination, séquelle
T80.69XA	autre réaction due à autre sérum, contact initial
T80.69XD	autre réaction due à autre sérum, contact subséquent
T80.69XS	autre réaction due à autre sérum, séquelle
T80.810A	extravasation de chimiothérapie antinéoplasique vésicante , contact initial
T80.810D	extravasation de chimiothérapie antinéoplasique vésicante, contact subséquent
T80.810S	extravasation de chimiothérapie antinéoplasique vésicante, séquelle
T80.818A	extravasation d'une autre substance vésicante, contact initial
T80.818D	extravasation d'une autre substance vésicante, contact subséquent
T80.818S	extravasation d'une autre substance vésicante, séquelle
T80.89XA	d'autres complications suite à une perfusion, transfusion et une injection thérapeutique, contact initial
T80.89XD	d'autres complications suite à une perfusion, transfusion et une injection thérapeutique, contact subséquent
T80.89XS	d'autres complications suite à une perfusion, transfusion et une injection thérapeutique, séquelle
T80.90XA	complication non spécifiée suite à une perfusion et une injection thérapeutique, contact initial
T80.90XD	complication non spécifiée suite à une perfusion et une injection thérapeutique, contact subséquent
T80.90XS	complication non spécifiée suite à une perfusion et une injection thérapeutique, séquelle
T80.910A	réaction aiguë hémolytique sur la transfusion, incompatibilité non spécifiée, contact initial
T80.910D	réaction aiguë hémolytique sur la transfusion, incompatibilité non spécifiée, contact subséquent
T80.910S	réaction aiguë hémolytique sur la transfusion, incompatibilité non spécifiée, séquelle
T80.911A	réaction hémolytique retardée sur la transfusion, incompatibilité non spécifiée, contact initial
T80.911D	réaction hémolytique retardée sur la transfusion, incompatibilité non spécifiée, contact subséquent
T80.911S	réaction hémolytique retardée sur la transfusion, incompatibilité non spécifiée, séquelle
T80.919A	réaction hémolytique sur la transfusion, incompatibilité non spécifiée, non spécifiée comme aiguë ou retardée, contact initial
T80.919D	réaction hémolytique sur la transfusion, incompatibilité non spécifiée, non spécifiée comme aiguë ou retardée, contact subséquent
T80.919S	réaction hémolytique sur la transfusion, incompatibilité non spécifiée, non spécifiée comme aiguë ou retardée, séquelle
T80.92XA	réaction sur la transfusion non spécifiée, contact initial
T80.92XD	réaction sur la transfusion non spécifiée, contact subséquent
T80.92XS	réaction sur la transfusion non spécifiée, séquelle
T80.A0XA	réaction due à une transfusion de sang ou de produits sanguins sans incompatibilité ABO, non spécifiée, contact initial
T80.A0XD	réaction due à une transfusion de sang ou de produits sanguins sans incompatibilité ABO, non spécifiée, contact subséquent
T80.A0XS	réaction due à une transfusion de sang ou de produits sanguins sans incompatibilité ABO, non spécifiée, séquelle
T80.A10A	réaction aiguë hémolytique sur la transfusion sans incompatibilité ABO, contact initial
T80.A10D	réaction aiguë hémolytique sur la transfusion sans incompatibilité ABO, contact subséquent
T81.10XA	choc postprocédural non spécifié, contact initial
T81.10XD	choc postprocédural non spécifié, contact subséquent
T81.10XS	choc postprocédural non spécifié, séquelle
T81.11XA	choc cardiogénique postprocédural non spécifié, contact initial
T81.11XD	choc cardiogénique postprocédural non spécifié, contact subséquent
T81.11XS	choc cardiogénique postprocédural non spécifié, séquelle
T81.12XA	choc septique postprocédural non spécifié, contact initial
T81.12XD	choc septique postprocédural non spécifié, contact subséquent
T81.12XS	choc septique postprocédural non spécifié, séquelle
T81.19XA	autre choc postprocédural, contact initial
T81.19XD	autre choc postprocédural, contact subséquent
T81.19XS	autre choc postprocédural, séquelle
T81.30XA	rupture d'une plaie, non spécifiée, contact initial
T81.30XD	rupture d'une plaie, non spécifiée, contact subséquent
T81.30XS	rupture d'une plaie, non spécifiée, séquelle
T81.31XA	rupture d'une plaie opératoire (chirurgicale) externe, non classée ailleurs, contact initial
T81.31XD	rupture d'une plaie opératoire (chirurgicale) externe, non classée ailleurs, contact subséquent
T81.31XS	rupture d'une plaie opératoire (chirurgicale) externe, non classée ailleurs, séquelle
T81.32XA	rupture d'une plaie opératoire (chirurgicale) interne, non classée ailleurs, contact initial
T81.32XD	rupture d'une plaie opératoire (chirurgicale) interne, non classée ailleurs, contact subséquent
T81.32XS	rupture d'une plaie opératoire (chirurgicale) interne, non classée ailleurs, séquelle
T81.33XA	rupture de suture d'une plaie traumatique, contact initial
T81.33XD	rupture de suture d'une plaie traumatique, contact subséquent
T81.33XS	rupture de suture d'une plaie traumatique, séquelle
T81.4XXA	infection suite à une procédure, contact initial
T81.4XXD	infection suite à une procédure, contact subséquent
T81.4XXS	infection suite à une procédure, séquelle
T81.500A	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une opération chirurgicale, contact initial
T81.500D	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une opération chirurgicale, contact subséquent
T81.500S	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une opération chirurgicale, séquelle
T81.501A	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une perfusion ou transfusion, contact initial
T81.501D	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une perfusion ou transfusion, contact subséquent
T81.501S	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une perfusion ou transfusion, séquelle
T81.502A	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une dialyse rénale, contact initial
T81.502D	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une dialyse rénale, contact subséquent
T81.502S	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une dialyse rénale, séquelle
T81.503A	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une injection ou vaccination, contact initial
T81.503D	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une injection ou vaccination, contact subséquent
T81.503S	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une injection ou vaccination, séquelle
T81.504A	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à un examen endoscopique, contact initial
T81.504D	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à un examen endoscopique, contact subséquent
T81.504S	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à un examen endoscopique, séquelle
T81.505A	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à un cathétérisme cardiaque, contact initial
T81.505D	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à un cathétérisme cardiaque, contact subséquent
T81.505S	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à un cathétérisme cardiaque, séquelle
T81.506A	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une aspiration, une ponction ou un autre cathétérisme, contact initial
T81.506D	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une aspiration, une ponction ou un autre cathétérisme, contact subséquent
T81.506S	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une aspiration, une ponction ou un autre cathétérisme, séquelle
T81.507A	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à l'extraction d'un cathéter ou d'un tamponnement, contact initial
T81.507D	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à l'extraction d'un cathéter ou d'un tamponnement, contact subséquent
T81.507S	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à l'extraction d'un cathéter ou d'un tamponnement, séquelle
T81.508A	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une autre procédure, contact initial
T81.508D	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une autre procédure, contact subséquent
T81.508S	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une autre procédure, séquelle
T81.509A	complication non spécifiée due à un corps étranger laissé accidentellement dans le corps suite à une procédure non spécifiée, contact initial
